nohup: ignoring input
Devices sample: ['NM1', 'NM1_D', 'NM1_G', 'NM1_S', 'NM1_B'] ... ['CIRCUIT_LNA', 'CIRCUIT_Mixer', 'CIRCUIT_LDO', 'CIRCUIT_Bandgap_Ref', 'CIRCUIT_Single_Stage_Amp', 'CIRCUIT_Power_Amp', 'CIRCUIT_Voltage_Regulator', 'CIRCUIT_Filter', 'CIRCUIT_Switched_Cap', 'CIRCUIT_General']
Vocab size: 1020
Visible GPUs: 2
Primary device: cuda:0
Loading training data...
Training npy shape: (192835, 1025) dtype: object
step 17500: train 0.0184/0.0683, val 0.3264/1.1760
step 18000: train 0.0181/0.0675, val 0.3341/1.2043
step 18500: train 0.0176/0.0655, val 0.3243/1.1731
step 19000: train 0.0177/0.0658, val 0.3256/1.1769
step 19500: train 0.0174/0.0647, val 0.3311/1.1926
step 20000: train 0.0172/0.0638, val 0.3293/1.1843
step 20500: train 0.0171/0.0633, val 0.3232/1.1737
step 21000: train 0.0166/0.0616, val 0.3184/1.1563
step 21500: train 0.0169/0.0625, val 0.3263/1.1774
step 22000: train 0.0165/0.0612, val 0.3278/1.1763
step 22500: train 0.0162/0.0606, val 0.3186/1.1487
step 23000: train 0.0160/0.0593, val 0.3234/1.1642
step 23500: train 0.0160/0.0596, val 0.3228/1.1681
step 24000: train 0.0157/0.0582, val 0.3216/1.1563
step 24500: train 0.0157/0.0582, val 0.3299/1.1886
step 25000: train 0.0155/0.0582, val 0.3275/1.1877
step 25500: train 0.0154/0.0574, val 0.3214/1.1583
step 26000: train 0.0153/0.0566, val 0.3184/1.1506
step 26500: train 0.0152/0.0565, val 0.3208/1.1581
step 27000: train 0.0151/0.0564, val 0.3167/1.1471
step 27500: train 0.0149/0.0553, val 0.3245/1.1718
step 28000: train 0.0150/0.0555, val 0.3203/1.1534
step 28500: train 0.0149/0.0551, val 0.3180/1.1531
step 29000: train 0.0146/0.0539, val 0.3152/1.1455
step 29500: train 0.0146/0.0544, val 0.3183/1.1469
step 30000: train 0.0145/0.0542, val 0.3234/1.1621
step 30500: train 0.0145/0.0540, val 0.3226/1.1632
step 31000: train 0.0145/0.0541, val 0.3119/1.1324
step 31500: train 0.0143/0.0529, val 0.3299/1.1895
step 32000: train 0.0142/0.0528, val 0.3290/1.1776
step 32500: train 0.0142/0.0525, val 0.3189/1.1588
step 33000: train 0.0141/0.0527, val 0.3167/1.1525
step 33500: train 0.0141/0.0526, val 0.3175/1.1464
step 34000: train 0.0140/0.0524, val 0.3204/1.1513
step 34500: train 0.0140/0.0523, val 0.3178/1.1584
step 35000: train 0.0138/0.0514, val 0.3155/1.1382
step 35500: train 0.0138/0.0513, val 0.3127/1.1346
step 36000: train 0.0138/0.0519, val 0.3217/1.1560
step 36500: train 0.0136/0.0508, val 0.3190/1.1493
step 37000: train 0.0136/0.0509, val 0.3159/1.1389
step 37500: train 0.0136/0.0510, val 0.3202/1.1561
step 38000: train 0.0136/0.0504, val 0.3206/1.1542
step 38500: train 0.0136/0.0503, val 0.3157/1.1361
step 39000: train 0.0135/0.0501, val 0.3223/1.1596
step 39500: train 0.0136/0.0505, val 0.3210/1.1558
step 40000: train 0.0133/0.0501, val 0.3123/1.1255
step 40500: train 0.0133/0.0499, val 0.3241/1.1733
step 41000: train 0.0133/0.0495, val 0.3190/1.1478
step 41500: train 0.0132/0.0492, val 0.3174/1.1452
step 42000: train 0.0133/0.0494, val 0.3194/1.1519
step 42500: train 0.0133/0.0494, val 0.3158/1.1379
step 43000: train 0.0132/0.0488, val 0.3137/1.1383
step 43500: train 0.0132/0.0489, val 0.3164/1.1490
step 44000: train 0.0131/0.0487, val 0.3161/1.1385
step 44500: train 0.0131/0.0490, val 0.3110/1.1303
step 45000: train 0.0131/0.0487, val 0.3113/1.1224
step 45500: train 0.0130/0.0480, val 0.3178/1.1461
step 46000: train 0.0131/0.0485, val 0.3171/1.1449
step 46500: train 0.0130/0.0483, val 0.3272/1.1737
step 47000: train 0.0130/0.0485, val 0.3272/1.1745
step 47500: train 0.0129/0.0482, val 0.3188/1.1584
step 48000: train 0.0129/0.0479, val 0.3094/1.1261
step 48500: train 0.0128/0.0482, val 0.3244/1.1696
step 49000: train 0.0128/0.0477, val 0.3262/1.1839
step 49500: train 0.0129/0.0480, val 0.3135/1.1321
step 50000: train 0.0128/0.0478, val 0.3197/1.1556
step 50500: train 0.0127/0.0470, val 0.3184/1.1484
step 51000: train 0.0128/0.0475, val 0.3173/1.1447
step 51500: train 0.0127/0.0478, val 0.3229/1.1656
step 52000: train 0.0127/0.0472, val 0.3241/1.1662
step 52500: train 0.0127/0.0474, val 0.3153/1.1370
step 53000: train 0.0126/0.0470, val 0.3156/1.1343
step 53500: train 0.0126/0.0469, val 0.3240/1.1729
step 54000: train 0.0126/0.0469, val 0.3240/1.1784
step 54500: train 0.0125/0.0468, val 0.3219/1.1587
step 55000: train 0.0125/0.0463, val 0.3192/1.1524
step 55500: train 0.0126/0.0467, val 0.3187/1.1445
step 56000: train 0.0125/0.0467, val 0.3311/1.1909
step 56500: train 0.0125/0.0470, val 0.3249/1.1681
step 57000: train 0.0125/0.0461, val 0.3260/1.1785
step 57500: train 0.0125/0.0464, val 0.3195/1.1540
step 58000: train 0.0124/0.0462, val 0.3175/1.1495
step 58500: train 0.0125/0.0467, val 0.3335/1.1963
step 59000: train 0.0124/0.0463, val 0.3278/1.1820
step 59500: train 0.0124/0.0462, val 0.3252/1.1747
step 60000: train 0.0124/0.0461, val 0.3268/1.1812
step 60500: train 0.0124/0.0459, val 0.3185/1.1548
step 61000: train 0.0123/0.0459, val 0.3229/1.1664
step 61500: train 0.0123/0.0458, val 0.3224/1.1715
step 62000: train 0.0123/0.0455, val 0.3282/1.1920
step 62500: train 0.0123/0.0457, val 0.3193/1.1619
step 63000: train 0.0122/0.0454, val 0.3217/1.1650
step 63500: train 0.0122/0.0456, val 0.3290/1.1822
step 64000: train 0.0123/0.0458, val 0.3362/1.2071
step 64500: train 0.0123/0.0457, val 0.3249/1.1784
step 65000: train 0.0122/0.0454, val 0.3244/1.1682
step 65500: train 0.0122/0.0454, val 0.3254/1.1695
step 66000: train 0.0122/0.0454, val 0.3213/1.1593
step 66500: train 0.0122/0.0454, val 0.3288/1.1885
step 67000: train 0.0121/0.0453, val 0.3214/1.1609
step 67500: train 0.0122/0.0450, val 0.3359/1.2041
step 68000: train 0.0121/0.0451, val 0.3296/1.1881
step 68500: train 0.0121/0.0448, val 0.3328/1.1965
step 69000: train 0.0121/0.0453, val 0.3233/1.1729
step 69500: train 0.0121/0.0450, val 0.3282/1.1808
step 70000: train 0.0121/0.0448, val 0.3255/1.1701
step 70500: train 0.0121/0.0449, val 0.3235/1.1692
step 71000: train 0.0121/0.0445, val 0.3229/1.1618
step 71500: train 0.0121/0.0450, val 0.3208/1.1658
step 72000: train 0.0120/0.0445, val 0.3291/1.1890
step 72500: train 0.0120/0.0451, val 0.3316/1.1924
step 73000: train 0.0121/0.0446, val 0.3270/1.1807
step 73500: train 0.0120/0.0447, val 0.3298/1.1890
step 74000: train 0.0120/0.0444, val 0.3309/1.1954
step 74500: train 0.0120/0.0443, val 0.3265/1.1767
step 75000: train 0.0120/0.0446, val 0.3293/1.1848
step 75500: train 0.0120/0.0447, val 0.3297/1.1882
step 76000: train 0.0119/0.0446, val 0.3310/1.1958
step 76500: train 0.0119/0.0447, val 0.3288/1.1873
step 77000: train 0.0119/0.0442, val 0.3268/1.1763
step 77500: train 0.0119/0.0444, val 0.3251/1.1723
step 78000: train 0.0119/0.0443, val 0.3336/1.2008
step 78500: train 0.0119/0.0443, val 0.3294/1.1862
step 79000: train 0.0119/0.0445, val 0.3280/1.1826
step 79500: train 0.0119/0.0441, val 0.3342/1.2134
step 80000: train 0.0119/0.0440, val 0.3209/1.1645
step 80500: train 0.0119/0.0446, val 0.3356/1.2157
step 81000: train 0.0119/0.0442, val 0.3302/1.1968
step 81500: train 0.0119/0.0443, val 0.3287/1.1861
step 82000: train 0.0118/0.0439, val 0.3396/1.2213
step 82500: train 0.0119/0.0443, val 0.3279/1.1914
step 83000: train 0.0119/0.0443, val 0.3262/1.1900
step 83500: train 0.0118/0.0437, val 0.3278/1.1836
step 84000: train 0.0118/0.0440, val 0.3230/1.1737
step 84500: train 0.0118/0.0441, val 0.3292/1.1925
step 85000: train 0.0118/0.0439, val 0.3343/1.1968
step 85500: train 0.0118/0.0435, val 0.3369/1.2136
step 86000: train 0.0118/0.0437, val 0.3308/1.2008
step 86500: train 0.0118/0.0437, val 0.3313/1.1943
step 87000: train 0.0118/0.0439, val 0.3228/1.1779
step 87500: train 0.0118/0.0438, val 0.3340/1.2080
step 88000: train 0.0117/0.0434, val 0.3297/1.1924
step 88500: train 0.0117/0.0432, val 0.3401/1.2199
step 89000: train 0.0118/0.0438, val 0.3273/1.1866
step 89500: train 0.0117/0.0433, val 0.3329/1.2050
step 90000: train 0.0118/0.0438, val 0.3305/1.1873
step 90500: train 0.0118/0.0440, val 0.3291/1.1852
step 91000: train 0.0117/0.0436, val 0.3256/1.1794
step 91500: train 0.0117/0.0434, val 0.3315/1.1907
step 92000: train 0.0117/0.0434, val 0.3336/1.2155
step 92500: train 0.0117/0.0434, val 0.3237/1.1732
step 93000: train 0.0117/0.0438, val 0.3330/1.1997
step 93500: train 0.0117/0.0433, val 0.3323/1.2013
step 94000: train 0.0117/0.0439, val 0.3341/1.2090
step 94500: train 0.0117/0.0436, val 0.3337/1.1957
step 95000: train 0.0117/0.0433, val 0.3315/1.1957
step 95500: train 0.0116/0.0436, val 0.3319/1.2021
step 96000: train 0.0117/0.0435, val 0.3327/1.2064
step 96500: train 0.0116/0.0432, val 0.3322/1.1985
step 97000: train 0.0117/0.0433, val 0.3338/1.2055
step 97500: train 0.0116/0.0432, val 0.3282/1.1849
step 98000: train 0.0116/0.0435, val 0.3299/1.1896
step 98500: train 0.0116/0.0433, val 0.3324/1.1902
step 99000: train 0.0116/0.0433, val 0.3366/1.2143
step 99500: train 0.0116/0.0432, val 0.3379/1.2139
step 99999: train 0.0116/0.0431, val 0.3376/1.2141
